Tamanho,Tipo,Comparações,Trocas (Atribuições),Custo Relativo,Tempo (s)
10,Ordenada,45,0,45,0.0
10,Inversamente Ordenada,45,45,90,0.0
10,Quase Ordenada,45,1,46,0.0
10,Aleatória,45,33,78,0.0
100,Ordenada,4950,0,4950,0.0
100,Inversamente Ordenada,4950,4950,9900,0.0
100,Quase Ordenada,4950,690,5640,0.0
100,Aleatória,4950,2635,7585,0.0
1000,Ordenada,499500,0,499500,0.025298357009887695
1000,Inversamente Ordenada,499500,499500,999000,0.054735660552978516
1000,Quase Ordenada,499500,50900,550400,0.026511669158935547
1000,Aleatória,499500,241870,741370,0.04399299621582031
10000,Ordenada,49995000,0,49995000,2.704394817352295
10000,Inversamente Ordenada,49995000,49995000,99990000,5.999842405319214
10000,Quase Ordenada,49995000,5664496,55659496,3.2622339725494385
10000,Aleatória,49995000,24759699,74754699,4.614959478378296
